GEO_ID,NAME,TOTAL_HOUSEHOLDS,HOUSEHOLDS_RECIEVING_SNAP
53001,"Adams County, Washington",5973,1337
53003,"Asotin County, Washington",9101,1570
53005,"Benton County, Washington",72121,9610
53007,"Chelan County, Washington",28384,2772
53009,"Clallam County, Washington",32958,4668
53011,"Clark County, Washington",174661,21407
53013,"Columbia County, Washington",1795,262
53015,"Cowlitz County, Washington",41952,9084
53017,"Douglas County, Washington",15263,1726
53019,"Ferry County, Washington",3060,498
53021,"Franklin County, Washington",26723,4984
53023,"Garfield County, Washington",984,82
53025,"Grant County, Washington",30818,5700
53027,"Grays Harbor County, Washington",28722,5690
53029,"Island County, Washington",34768,2654
53031,"Jefferson County, Washington",14705,1253
53033,"King County, Washington",882028,74935
53035,"Kitsap County, Washington",103913,10567
53037,"Kittitas County, Washington",18347,1968
53039,"Klickitat County, Washington",8877,1601
53041,"Lewis County, Washington",30618,5810
53043,"Lincoln County, Washington",4525,495
53045,"Mason County, Washington",24278,4105
53047,"Okanogan County, Washington",17675,3456
53049,"Pacific County, Washington",9279,1804
53051,"Pend Oreille County, Washington",5727,1068
53053,"Pierce County, Washington",323296,41043
53055,"San Juan County, Washington",8252,410
53057,"Skagit County, Washington",48493,6152
53059,"Skamania County, Washington",4816,549
53061,"Snohomish County, Washington",293823,28711
53063,"Spokane County, Washington",202811,32453
53065,"Stevens County, Washington",17554,2872
53067,"Thurston County, Washington",109983,13039
53069,"Wahkiakum County, Washington",1897,261
53071,"Walla Walla County, Washington",22646,2951
53073,"Whatcom County, Washington",86523,10580
53075,"Whitman County, Washington",17999,1723
53077,"Yakima County, Washington",83048,18310
