State,County,Median AQI
California,Alameda,46
California,Amador,33
California,Butte,42
California,Calaveras,38
California,Colusa,38
California,Contra Costa,43
California,Del Norte,27
California,El Dorado,39
California,Fresno,58
California,Glenn,38
California,Humboldt,31
California,Imperial,48
California,Inyo,58
California,Kern,56
California,Kings,56
California,Lake,34
California,Los Angeles,64
California,Madera,49
California,Marin,34
California,Mariposa,47
California,Merced,28
California,Mono,17
California,Monterey,38
California,Napa,38
California,Nevada,48
California,Orange,46
California,Placer,55
California,Plumas,61
California,Riverside,79
California,Sacramento,43
California,San Benito,41
California,San Bernardino,80
California,San Diego,58
California,San Francisco,37
California,San Joaquin,47
California,San Luis Obispo,50
California,San Mateo,34
California,Santa Barbara,41
California,Santa Clara,45
California,Santa Cruz,35
California,Shasta,46
California,Solano,41
California,Sonoma,33
California,Stanislaus,55
California,Sutter,40
California,Tehama,43
California,Trinity,23
California,Tulare,77
California,Tuolumne,37
California,Ventura,48
California,Yolo,40
